before ,after
temuin,menemukan
klw,kalau
hj,haji
barcod,barcode
gmn,bagaimana
nda,tidak
inj,ini
slmat,selamat
skrg,sekarang
tf,transfer
no,nomor
bukak,buka
apk,aplikasi
yg,yang 
yng,yang 
sy,saya
jgn ,jangan
tdk,tidak
tgl,tanggal
smpai,sampai
dngn,dengan
dpt,dapat
trim,terima kasih
mhn,mohon
namasupriadi,nama supriadi
kendalaakun,kendala akun
produksooltanpay,produk sooltanpay
ngelapor,melapor
dmana,dimana
tilep ,mengambil
rp ,rupiah
gmnsehuang,bagaimana sekarang
berhasilbesok,berhasil besok
duitbesok,uang besok
sekrang,sekarang
neh,nih
kepotongbahaya,bahaya terpotong
kepotongpayah,payah terpotong
inisaya,ini saya
playstoretakutnya,playstore takutnya
dr,dari
cs,customer servis
ybs ,yang bersangkutan
bsk,besok
kls,kelas
aq,aku
tq,terima kasih
gst,gesit
ge,tidak
bpk,bapak
lms,lemas
mohn,mohon
agr,agar
masmb,mas
dicatet,catat
kakrn,kak
bisakrn,bisa kan
katerimkasih,terima kasih
inputhasilnya,input hasilnya
kendalamasuk,kendala masuk
wpinya,wifi
salahtdk,salah tidak
akunemailnya,email
mhnn,mohon
dikompulir,komputer
danalink,dana
gmaiil,gmail
jlkebun,jalan kebun
jlfamily,jalan family
tidap,tidak
ssistem,sistem
jlarhakim,jalan arhakim
namaanjar ,nama anjar
directx,direct
produkthe,produk
intsall,install
driverny,driver
okt,oktober
nda,tidak
temuin,menemukan
modellyn,modelnya
gx ,tidak
blum,belum
seminggy,seminggu
wa,whatsapp
tks,terima kasih
solnya,soalnya
Siyapp,siap
bantuanx,bantuan
jl,jalan
sd,sampai
ksk,kak
br,baru
mlm,malam
kec,kecamatan
kab,kabupaten
okr,oke
rp,rupiah
karen,karena
afa,apa
kanlama,lama
babget,banget
kp,kampung
ds,desa
namaumrah,nama umrah
namalusi,nama lusi
emaillusi,email lusi
produktmobey,produk mobey
aproval,menyetujui
kerekening,ke rekening
belom,belum
aj,saja
gmn,bagaimana
kk,kakak
gimna,bagaimana
nyangkutt,menyangkut
Form,formulir
gimana ,bagaimana
Trman,teman
nggeh,baik 
blm,belum
lgsg,langsung
eroor,kesalahan
app,aplikasi
pihk,pihak
sdh,sudah
diriwayat,di riwayat
knpa,kenapa
terimakasih,terima kasih
cuekin,tidak peduli
bantuna,bantuan
uda,sudah
clear,selesai
unblocknya,membuka
skali,sekali
Masukkk,masuk
blm,belum
saldonyaaaa,saldo
ja ,saja
moga ,semoga
brubah,berubah
konfrimasinya,konfirmasi
H+,esok hari
gmna,bagaimana
selamt,selamat
pahi,pagi
groupx,grup
kpn,kapan
okok,baik 
followup,mengingatkan
h,hari ini
menyepelekab,menyepelekan
jt,juta
lbih,lebih
bln,bulan
denan,dengan
sperti,seperti
Mksdnya,maksudnya
all,semua
payment,pembayaran
